2024-03-19 13:29:57.607 +03:00 [INF] ad
2024-03-19 13:37:54.445 +03:00 [INF] ad
2024-03-19 13:37:54.463 +03:00 [ERR] Errororoor
2024-03-19 14:11:56.591 +03:00 [INF] 0 File sent.
2024-03-19 14:14:37.168 +03:00 [INF] Message chat id : 0 ; File name - Updated data.json : File sent by user.
2024-03-19 15:44:47.168 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 15:44:49.443 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSort
2024-03-19 15:44:51.815 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSortField_Id
2024-03-19 15:44:53.977 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortAscendingForUniversalSide
2024-03-19 15:44:58.061 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:45:00.474 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:45:02.494 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:45:09.834 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:45:11.258 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Filtration
2024-03-19 15:45:15.287 +03:00 [INF] Bot id : 6429131594 ; The user clicked: MoreDetailedFiltering
2024-03-19 15:45:19.408 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterField_Id
2024-03-19 15:45:24.446 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterSecondField_GlobalId
2024-03-19 15:45:29.731 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalFilterTheSameField
2024-03-19 15:45:33.380 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:45:34.977 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:45:36.269 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:48:20.980 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 15:50:24.718 +03:00 [INF] Bot id : 6429131594 ; User sent a message : 123 
2024-03-19 15:50:26.231 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /start 
2024-03-19 15:50:28.122 +03:00 [INF] Bot id : 6429131594 ; User sent a message : /help 
2024-03-19 15:50:33.370 +03:00 [INF] Bot id : 6429131594 ; User sent a message : 🤮 
2024-03-19 15:50:39.052 +03:00 [INF] Bot id : 6429131594 ; User sent a document : template.typ 
2024-03-19 15:50:44.860 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 15:50:47.519 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 15:50:50.463 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortAscending
2024-03-19 15:50:53.533 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.json"
2024-03-19 15:50:53.534 +03:00 [INF] Bot id : 6429131594 ; The user clicked: JSON
2024-03-19 15:51:00.280 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:51:04.292 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortDescending
2024-03-19 15:56:17.052 +03:00 [INF] Bot id : 6429131594 ; User sent a document : gas-station.csv 
2024-03-19 15:56:20.907 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Sorting
2024-03-19 15:56:23.775 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortTestDateAscending
2024-03-19 15:56:28.674 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.json"
2024-03-19 15:56:28.675 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SendJSONFile
2024-03-19 15:56:48.028 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:56:49.653 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortTestDateDescending
2024-03-19 15:56:53.566 +03:00 [INF] Message chat id : 0 ; File sent by user. ; File name - "Updated data.csv"
2024-03-19 15:56:53.566 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SendCSVFile
2024-03-19 15:57:18.823 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:57:23.988 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSort
2024-03-19 15:57:29.510 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSortField_Id
2024-03-19 15:57:35.945 +03:00 [INF] Bot id : 6429131594 ; The user clicked: SortAscendingForUniversalSide
2024-03-19 15:57:52.504 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:57:54.133 +03:00 [INF] Bot id : 6429131594 ; The user clicked: Back
2024-03-19 15:57:56.038 +03:00 [INF] Bot id : 6429131594 ; The user clicked: UniversalSortField_GlobalId
