"ID";"FullName";"global_id";"ShortName";"AdmArea";"District";"Address";"Owner";"TestDate";"geodata_center";"geoarea";
"Код";"Полное официальное наименование";"global_id";"Сокращенное наименование";"Административный округ";"Район";"Адрес";"Наименование компании";"Дата проверки";"geodata_center";"geoarea";
"14";"Автомобильный заправочный комплекс № 1 «РН-Москва»";"4539435";"АЗК № 1 «РН-Москва»";"Северо-Восточный административный округ";"район Отрадное";"улица Декабристов, дом 47Б";"ОАО «РН-Москва»";"04.04.2013";"";"";
"15";"Автомобильный заправочный комплекс № 11 «РН-Москва»";"4539436";"АЗК № 11 «РН-Москва»";"Северный административный округ";"Бескудниковский район";"Дубнинская улица, дом 52";"ОАО «РН-Москва»";"04.04.2013";"";"";
